City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
116,Langsa,ID,2020-01-04 20:05:23,4.47,97.97,72.7,87,0,4.16,clear sky,0.0,0.0
117,Saint-Philippe,CA,2020-01-04 20:05:24,45.36,-73.48,33.01,92,90,12.75,light snow,0.0,0.0
118,Lagoa,PT,2020-01-04 20:05:24,37.14,-8.45,55.0,87,0,4.7,clear sky,0.0,0.0
119,Bayir,TR,2020-01-04 20:05:24,37.27,28.22,42.8,60,0,3.36,clear sky,0.0,0.0
120,Tigre,AR,2020-01-04 20:05:24,-34.42,-58.58,86.0,42,20,9.17,few clouds,0.0,0.0
121,Narsaq,GL,2020-01-04 20:05:25,60.91,-46.05,26.6,86,75,3.38,light snow,0.0,0.0
122,Talara,PE,2020-01-04 20:05:25,-4.58,-81.27,62.6,100,100,14.99,overcast clouds,0.0,0.0
123,Carnarvon,ZA,2020-01-04 20:05:25,-30.97,22.13,72.52,24,0,14.58,clear sky,0.0,0.0
124,Kodiak,US,2020-01-04 20:03:15,39.95,-94.76,43.0,44,1,10.29,clear sky,0.0,0.0
125,Namibe,AO,2020-01-04 20:05:25,-15.19,12.15,75.63,89,99,10.27,overcast clouds,0.0,0.0
126,Dwarka,IN,2020-01-04 20:05:26,28.58,77.04,62.01,76,20,2.95,mist,0.0,0.0
127,Mataura,NZ,2020-01-04 20:05:26,-46.19,168.86,51.01,88,98,5.99,overcast clouds,0.0,0.0
128,Torbay,CA,2020-01-04 20:05:26,47.66,-52.73,35.01,98,90,14.99,light rain,0.0,0.0
129,Tessalit,ML,2020-01-04 20:03:55,20.2,1.01,55.83,26,44,10.63,scattered clouds,0.0,0.0
130,Roma,IT,2020-01-04 20:03:07,41.89,12.48,51.01,87,40,2.24,scattered clouds,0.0,0.0
131,Padang,ID,2020-01-04 20:05:27,-0.92,100.36,68.68,92,100,5.53,overcast clouds,0.0,0.0
132,La Ronge,CA,2020-01-04 20:05:27,55.1,-105.3,17.6,85,90,17.22,light snow,0.0,0.0
133,Sitka,US,2020-01-04 20:05:27,37.17,-99.65,54.0,44,0,5.01,clear sky,0.0,0.0
134,Nikolskoye,RU,2020-01-04 20:05:28,59.7,30.79,34.0,86,90,15.66,overcast clouds,0.0,0.0
135,Uchaly,RU,2020-01-04 20:05:28,54.32,59.38,15.4,91,0,3.13,clear sky,0.0,0.0
136,Manokwari,ID,2020-01-04 20:05:28,-0.87,134.08,72.88,84,100,1.43,overcast clouds,0.0,0.0
137,Bagua Grande,PE,2020-01-04 20:05:28,-5.75,-78.44,77.65,54,73,4.61,broken clouds,0.0,0.0
138,Hithadhoo,MV,2020-01-04 20:00:37,-0.6,73.08,83.03,68,99,4.38,overcast clouds,0.0,0.0
139,Kruisfontein,ZA,2020-01-04 20:05:29,-34.0,24.73,68.18,96,49,3.51,scattered clouds,0.0,0.0
140,Tamiahua,MX,2020-01-04 20:05:29,21.28,-97.45,67.42,56,0,14.18,clear sky,0.0,0.0
141,Beyneu,KZ,2020-01-04 20:05:29,45.32,55.19,28.44,67,12,6.15,few clouds,0.0,0.0
142,West Bay,CA,2020-01-04 20:05:29,49.34,-123.21,46.99,75,40,11.41,scattered clouds,0.0,0.0
143,Lavrentiya,RU,2020-01-04 20:05:30,65.58,-170.99,-11.18,85,78,11.18,broken clouds,0.0,0.0
144,Ginda,IN,2020-01-04 20:05:30,30.69,78.49,31.91,82,0,4.16,clear sky,0.0,0.0
145,Brae,GB,2020-01-04 20:05:30,60.4,-1.35,42.8,93,100,25.28,light rain,1.75,0.0
146,Loiza,PR,2020-01-04 20:05:31,18.43,-65.88,84.2,62,40,11.41,scattered clouds,0.0,0.0
147,Longyearbyen,NO,2020-01-04 20:05:31,78.22,15.63,3.2,71,40,10.29,scattered clouds,0.0,0.0
