City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Umba,RU,2020-01-02 19:33:04,66.69,34.34,36.05,96,100,24.45
146,Poum,MK,2020-01-02 19:32:26,41.28,20.71,32.0,50,20,4.7
147,Paamiut,GL,2020-01-02 19:33:05,61.99,-49.67,25.9,43,100,9.66
148,Brae,GB,2020-01-02 19:33:05,60.4,-1.35,42.8,93,100,20.8
149,Nikolskoye,RU,2020-01-02 19:33:05,59.7,30.79,41.0,80,90,15.66
150,Kysyl-Syr,RU,2020-01-02 19:33:06,63.9,122.77,-33.38,94,0,4.18
151,Katangli,RU,2020-01-02 19:33:06,51.71,143.23,1.29,95,100,5.19
152,Lagoa,PT,2020-01-02 19:33:06,37.14,-8.45,60.01,82,75,6.93
153,Esperance,AU,2020-01-02 19:33:06,-33.86,121.89,60.8,82,75,12.75
154,Nueve De Julio,AR,2020-01-02 19:33:06,-31.67,-68.39,93.79,25,0,5.99
155,Sasovo,RU,2020-01-02 19:33:07,54.35,41.93,32.52,97,100,8.5
156,San Cristobal,HN,2020-01-02 19:33:07,14.68,-86.92,81.32,33,10,7.07
157,Shimoda,JP,2020-01-02 19:33:07,34.7,138.93,36.0,88,0,28.99
158,Ust-Omchug,RU,2020-01-02 19:33:08,61.13,149.63,3.18,96,100,11.18
159,Provideniya,RU,2020-01-02 19:33:08,64.42,-173.23,-12.64,79,0,8.88
160,Roebourne,AU,2020-01-02 19:33:08,-20.77,117.15,82.4,64,99,6.04
161,Mount Gambier,AU,2020-01-02 19:33:08,-37.83,140.78,51.8,93,86,5.82
162,Petropavlovsk-Kamchatskiy,RU,2020-01-02 19:30:45,53.05,158.65,10.4,72,75,6.71
163,Shelburne,CA,2020-01-02 19:33:09,44.08,-80.2,43.0,60,90,13.87
164,Iracoubo,GF,2020-01-02 19:33:09,5.48,-53.21,80.04,72,57,12.46
165,Altay,CN,2020-01-02 19:33:09,47.83,88.13,15.67,66,0,6.11
166,Tandil,AR,2020-01-02 19:33:10,-37.33,-59.14,75.22,53,59,13.33
167,Severo-Kurilsk,RU,2020-01-02 19:32:35,50.68,156.12,15.35,90,26,5.01
168,Gat,SN,2020-01-02 19:33:10,14.69,-16.54,84.2,23,96,11.05
169,Klyuchi,RU,2020-01-02 19:33:10,52.25,79.17,18.36,81,99,10.33
170,Riyadh,SA,2020-01-02 19:28:15,24.63,46.72,66.2,45,7,5.82
171,Yellowknife,CA,2020-01-02 19:30:16,62.45,-114.38,8.6,84,90,8.05
172,Kruisfontein,ZA,2020-01-02 19:33:11,-34.0,24.73,67.21,85,85,8.41
173,Severnoye,RU,2020-01-02 19:33:11,54.09,52.54,1.96,95,0,5.48
174,Caravelas,BR,2020-01-02 19:33:12,-17.73,-39.27,78.8,81,100,14.38
175,Sibolga,ID,2020-01-02 19:33:12,1.74,98.78,72.18,93,100,2.24
176,Kununurra,AU,2020-01-02 19:32:34,-15.77,128.74,82.4,83,100,3.36
177,Kofele,ET,2020-01-02 19:33:13,7.07,38.78,51.96,91,0,7.65
178,Camacha,PT,2020-01-02 19:33:13,33.08,-16.33,66.2,68,20,11.41
179,Mwene-Ditu,CD,2020-01-02 19:33:13,-7.01,23.45,68.52,97,100,3.22
180,Stonewall,CA,2020-01-02 19:33:13,50.13,-97.33,21.0,85,75,17.22
181,Faanui,PF,2020-01-02 19:33:14,-16.48,-151.75,81.54,77,100,10.31
182,Sao Filipe,CV,2020-01-02 19:32:22,14.9,-24.5,71.02,71,100,15.68
183,Kaeo,NZ,2020-01-02 19:33:14,-35.1,173.78,64.99,83,3,4.0
184,Hamilton,CA,2020-01-02 19:30:04,43.26,-79.87,46.99,69,75,16.11
185,Namatanai,PG,2020-01-02 19:32:38,-3.66,152.44,82.31,77,0,3.67
186,Nuevo Progreso,US,2020-01-02 19:32:34,26.05,-97.95,69.01,77,90,9.17
187,Pucara,BO,2020-01-02 19:33:15,-21.7,-64.2,91.4,53,75,13.87
188,Kambove,CD,2020-01-02 19:33:15,-10.88,26.6,63.72,93,100,1.43
189,Bethel,US,2020-01-02 19:33:16,60.79,-161.76,-13.0,75,1,8.05
190,Kirakira,SB,2020-01-02 19:33:16,-10.46,161.92,79.75,79,0,4.12
191,Denpasar,ID,2020-01-02 19:31:38,-8.65,115.22,80.6,94,75,16.11
192,Saint-Leu,RE,2020-01-02 19:33:16,-21.15,55.28,78.8,78,90,3.36
193,Baruun-Urt,MN,2020-01-02 19:33:17,46.68,113.28,3.87,81,0,8.81
194,Constitucion,MX,2020-01-02 19:33:17,23.99,-104.67,53.6,37,40,24.16
195,Sitka,US,2020-01-02 19:33:17,37.17,-99.65,50.0,50,100,17.0
196,Rupert,US,2020-01-02 19:33:18,42.62,-113.68,37.4,69,1,20.8
197,Saldanha,PT,2020-01-02 19:33:18,41.42,-6.55,39.42,81,100,2.84
198,Kidal,ML,2020-01-02 19:32:21,18.44,1.41,53.13,23,0,13.94
